номер  п/п,Артикул,Наименование,Описание,Ед. изм.,Кол-во листов,Цена,Цена с НДС,РРЦ,Формат,Класс,Материал,"Карты, стенды, таблицы",Эдустронг,ПУНКТ ПРИКАЗА 1
1038,КАР-ГЕО10052,Австралия и Новая Зеландия. Социально- экономическая карта 10 класс,Размер 70*100см. Бумага. Ламинация ,шт,,250,312.5,728,700x1000,География,Бумага,Карты,Да,2.11.23.
1039,УК-НШ001,"Учебн. карта ""Природные зоны России. Начальная школа"" ",Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
1040,УК-НШ002,"Учебн. карта ""Физическая карта полушарий. Начальная школа""",Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
1041,УК-НШ003,"Учебн. карта ""Физическая карта России. Начальная школа"" ",Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
1042,УК-НШ004,"Учебн. карта ""Природные зоны России. Начальная школа"" ",Размер 70*100см. Бумага. Ламинация ,шт,,250,312.5,728,700x1000,География,Бумага,Карты,Да,2.11.23.
1043,УК-НШ005,"Учебн. карта ""Физическая карта полушарий. Начальная школа""",Размер 70*100см. Бумага. Ламинация ,шт,,250,312.5,728,700x1000,География,Бумага,Карты,Да,2.11.23.
1044,УК-НШ006,"Учебн. карта ""Физическая карта России. Начальная школа"" ",Размер 70*100см. Бумага. Ламинация ,шт,,250,312.5,728,700x1000,География,Бумага,Карты,Да,2.11.23.
1045,УК-НШ007,"Учебн. карта ""Природные зоны России. Начальная школа"" ",Размер 100*140см. Бумага. Ламинация ,шт,,420,525,1344,1400х1000,География,Бумага,Карты,Да,2.11.23.
1046,УК-НШ008,"Учебн. карта ""Физическая карта полушарий. Начальная школа""",Размер 100*140см. Бумага. Ламинация ,шт,,420,525,1344,1400х1000,География,Бумага,Карты,Да,2.11.23.
1047,УК-НШ009,"Учебн. карта ""Физическая карта России. Начальная школа"" ",Размер 100*140см. Бумага. Ламинация ,шт,,420,525,1344,1400х1000,География,Бумага,Карты,Да,2.11.23.
1048,УК-НШ010,"Учебн. карта ""Природные зоны России. Начальная школа"" ","Изготовлена на виниле. Размер 70х100см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,750,937.5,1545.6,700x1000,География,Винил,Карты,Да,2.11.23.
1049,УК-НШ011,"Учебн. карта ""Физическая карта полушарий. Начальная школа""","Изготовлена на виниле. Размер 70х100см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,750,937.5,1545.6,700x1000,География,Винил,Карты,Да,2.11.23.
1050,УК-НШ012,"Учебн. карта ""Физическая карта России. Начальная школа"" ","Изготовлена на виниле. Размер 70х100см. Вес (плотность) - 440 г/кв.м. Печать односторонняя, полноцветная.",шт,,750,937.5,1545.6,700x1000,География,Винил,Карты,Да,2.11.23.
1051,КАР-ГЕО6001,Физическая карта полушарий 6 класс,Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
1052,КАР-ГЕО6002,Политическая карта полушарий 6 класс,Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
1053,КАР-ГЕО6003,Политическая карта мира 6 класс,Формат А3. Бумага. Ламинация  ,шт,,178,222.5,400.5,А3,География,Бумага,Карты,Да,2.11.23.
